Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade
CL19903,6/5/2011,8º ano,Jardim Canadá,18/08/2024 22:45,26/12/2024,Rematrícula,"50,00%",17.555
CL19904,17/12/2016,3º ano,Alípio de Melo,18/08/2024 22:47,29/09/2024,Rematrícula,"60,00%",10.826
CL19905,12/11/2015,4º ano,Ouro Preto,18/08/2024 22:44,03/02/2025,Rematrícula,"27,30%",18.668
CL19907,27/01/2020,Infantil 5,Nova Suíça,18/08/2024 22:45,29/11/2024,Rematrícula,"47,00%",14.213
CL19911,,2º ano,,18/08/2024 22:45,,Rematrícula,,
CL19914,,3ª série,,18/08/2024 22:46,,Rematrícula,,
CL19916,04/12/2017,2º ano,Castelo,18/08/2024 22:46,26/08/2024,Rematrícula,"48,50%",13.362
CL19919,28/12/2015,4º ano,Lagoa Santa,18/08/2024 22:46,23/12/2024,Rematrícula,"35,00%",16.304
CL19923,10/05/2012,7º ano bilíngue,Carajás,18/08/2024 22:45,06/12/2024,Rematrícula,"100,00%",38.376
CL19927,21/11/2019,Infantil 5,Conceição do Mato Dentro,18/08/2024 22:46,21/11/2024,Rematrícula,"100,00%",253.0
CL19928,3/12/2010,9º ano,Alípio de Melo,18/08/2024 22:46,10/09/2024,Rematrícula,"35,90%",18.954
CL19932,,Infantil 5,,18/08/2024 22:45,,Rematrícula,,
CL19934,,4º ano,,18/08/2024 22:46,,Rematrícula,,
CL19939,21/06/2012,8º ano,Gutierrez,18/08/2024 22:45,01/11/2024,Rematrícula,"100,00%",2.701
CL19945,29/09/2010,9º ano,Mais Buritis,18/08/2024 22:47,24/01/2025,Rematrícula,"56,30%",16.077
CL19947,,6º ano,,18/08/2024 22:45,,Rematrícula,,
CL19950,12/02/2007,3ª série,Mais Cidade Nova,18/08/2024 22:46,19/12/2024,Rematrícula,"68,00%",18.081
CL19952,24/2/2013,7º ano,Alípio de Melo,18/08/2024 22:45,04/10/2024,Rematrícula,"40,00%",17.892
CL19953,08/01/2018,2º ano,Lagoa Santa,18/08/2024 22:46,24/09/2024,Rematrícula,"51,20%",12.898
CL19957,5/5/2017,2º ano,Carajás,18/08/2024 22:46,28/11/2024,Rematrícula,"100,00%",22.238
CL19959,30/01/2018,2º ano,Castelo Manacás,18/08/2024 22:46,07/10/2024,Rematrícula,"50,00%",13.031
CL19963,17/12/2013,6º ano bilíngue,Carajás,18/08/2024 22:45,06/12/2024,Rematrícula,"100,00%",38.376
CL19964,30/1/2009,2ª série,Alípio de Melo,18/08/2024 22:47,16/10/2024,Rematrícula,"100,00%",0.0
CL19965,,6º ano,,18/08/2024 22:45,,Rematrícula,,
CL19966,22/09/2018,1º ano bilíngue,Mais Belvedere,18/08/2024 22:45,30/09/2024,Rematrícula,"70,00%",17.262
CL19968,20/03/2014,6º ano bilíngue,Mais Pampulha,18/08/2024 22:44,09/10/2024,Rematrícula,"58,70%",28.202
CL19973,14/6/2015,4º ano bilíngue,Carajás,18/08/2024 22:45,28/11/2024,Rematrícula,"100,00%",32.408
CL19974,05/12/2013,6º ano,Carlos Prates,18/08/2024 22:46,07/10/2024,Rematrícula,"100,00%",471.0
CL19975,30/04/2014,6º ano,Santa Amélia,18/08/2024 22:45,12/11/2024,Rematrícula,"47,00%",16.891
CL19981,3/12/2016,3º ano,Carajás,18/08/2024 22:45,25/11/2024,Rematrícula,"100,00%",22.238
CL19989,21/10/2011,8º ano,Gutierrez,18/08/2024 22:44,08/10/2024,Rematrícula,"46,00%",18.204
CL20004,,9º ano,,18/08/2024 22:44,,Rematrícula,,
CL20006,7/4/2017,2º ano bilíngue,Mais Cidade Nova,18/08/2024 22:45,06/12/2024,Rematrícula,"57,10%",24.052
CL20007,11/10/2008,2ª série,Carlos Prates,18/08/2024 22:46,26/09/2024,Rematrícula,"45,80%",18.016
CL20009,12/4/2016,3º ano bilíngue,Carajás,18/08/2024 22:46,30/11/2024,Rematrícula,"100,00%",32.408
CL20016,,4º ano,,18/08/2024 22:45,,Rematrícula,,
CL20018,24/6/2017,2º ano,Ouro Preto,18/08/2024 22:46,09/01/2025,Rematrícula,"55,00%",13.306
CL20022,25/4/2011,8º ano,Mais Pampulha,18/08/2024 22:47,03/10/2024,Rematrícula,"50,00%",21.287
CL20023,6/9/2007,3ª série,Santa Amélia,18/08/2024 22:47,31/10/2024,Rematrícula,"48,80%",20.568
CL20024,12/9/2014,5º ano,Gutierrez,18/08/2024 22:44,30/09/2024,Rematrícula,"51,50%",14.57
CL20025,09/08/2016,3º ano,Ouro Preto,18/08/2024 22:45,18/11/2024,Rematrícula,"35,00%",19.025
CL20028,6/1/2016,4º ano,Alípio de Melo,18/08/2024 22:45,27/08/2024,Rematrícula,"50,00%",13.031
CL2003,18/6/2021,Infantil 3,Conceição do Mato Dentro,18/08/2024 22:47:00,26/11/2024,Rematrícula,"100,00%",253.0
CL20032,12/08/2015,4º ano,Nova Suíça,18/08/2024 22:45,18/10/2024,Rematrícula,"100,00%",460.0
CL20035,27/11/2011,8º ano,Carajás,18/08/2024 22:44,12/12/2024,Rematrícula,"100,00%",23.427
CL20036,27/08/2014,5º ano,Lagoa Santa,18/08/2024 22:47,08/10/2024,Rematrícula,"43,00%",14.725
CL20037,7/6/2011,8º ano,Carajás,18/08/2024 22:47,18/12/2024,Rematrícula,"100,00%",23.427
CL20042,14/8/2015,4º ano,Lagoa Santa,18/08/2024 22:45,27/11/2024,Rematrícula,"44,00%",14.502
CL20043,25/3/2016,4º ano,Ouro Preto,18/08/2024 22:45,03/02/2025,Rematrícula,"50,00%",14.473
CL20044,22/8/2018,1º ano,Carajás,18/08/2024 22:46,18/11/2024,Rematrícula,"100,00%",22.238
CL20045,27/12/2010,9º ano,Santa Amélia,18/08/2024 22:44,27/09/2024,Rematrícula,"40,00%",18.795
CL20048,02/08/2010,9º ano,Mais Buritis,18/08/2024 22:46,12/11/2024,Rematrícula,"1,00%",35.353
CL20050,4/4/2016,3º ano,Ouro Preto,18/08/2024 22:46,16/12/2024,Rematrícula,"40,00%",17.741
CL20052,14/06/2014,6º ano,Alípio de Melo,18/08/2024 22:44,23/09/2024,Rematrícula,"60,00%",12.713
CL20053,09/08/2011,8º ano,Mais Pampulha,18/08/2024 22:45,23/11/2024,Rematrícula,"60,00%",17.307
CL20057,11/07/2013,6º ano,Alípio de Melo,18/08/2024 22:46,11/09/2024,Rematrícula,"100,00%",0.0
CL2006,27/8/2017,2º ano,Conceição do Mato Dentro,18/08/2024 22:47:00,21/01/2025,Rematrícula,"100,00%",0.0
CL20063,22/07/2019,Infantil 5,Conceição do Mato Dentro,18/08/2024 22:45,27/12/2024,Rematrícula,"50,00%",15.176
CL20073,,4º ano bilíngue,,18/08/2024 22:46,,Rematrícula,,
CL20079,19/3/2009,2ª série,Lagoa Santa,18/08/2024 22:44,30/01/2025,Rematrícula,"60,00%",13.333
CL20080,29/05/2017,2º ano,Santa Amélia,18/08/2024 22:46,17/10/2024,Rematrícula,"50,00%",13.689
CL20083,22/05/2012,7º ano,Lagoa Santa,18/08/2024 22:44,18/12/2024,Rematrícula,"55,60%",13.931
CL20085,11/07/2008,2ª série,Alípio de Melo,18/08/2024 22:47,03/10/2024,Rematrícula,"69,00%",10.118
CL20088,22/02/2013,6º ano,Ouro Preto,18/08/2024 22:46,08/10/2024,Rematrícula,"0,00%",32.895
CL20094,29/4/2013,7º ano,Alípio de Melo,18/08/2024 22:45,13/09/2024,Rematrícula,"50,00%",14.596
CL20097,29/07/2012,7º ano,Santa Amélia,18/08/2024 22:46,07/10/2024,Rematrícula,"50,00%",16.075
CL20099,,9º ano,,18/08/2024 22:46,,Rematrícula,,
CL20101,,3ª série,,18/08/2024 22:46,,Rematrícula,,
CL20103,26/02/2009,2ª série,Ouro Preto,18/08/2024 22:46,30/11/2024,Rematrícula,"50,00%",19.747
CL20106,13/1/2009,2ª série,Mais Buritis,18/08/2024 22:45,17/09/2024,Rematrícula,"40,00%",23.57
CL20109,26/5/2015,5º ano,Conceição do Mato Dentro,18/08/2024 22:45,20/12/2024,Rematrícula,"50,00%",16.387
CL20110,26/12/2019,Infantil 5 bilíngue,Mais Cidade Nova,18/08/2024 22:45,25/10/2024,Rematrícula,"70,00%",15.77
CL20112,28/09/2015,4º ano bilíngue,Mais Pampulha,18/08/2024 22:46,03/10/2024,Rematrícula,"55,50%",25.417
CL20113,19/12/2009,1ª série,Carlos Prates,18/08/2024 22:47,03/09/2024,Rematrícula,"8,70%",28.576
CL20118,15/5/2021,Infantil 3,Jaraguá,18/08/2024 22:46,21/10/2024,Rematrícula,"56,00%",10.28
CL20119,10/5/2014,6º ano,Alípio de Melo,18/08/2024 22:45,02/01/2025,Rematrícula,"51,50%",14.914
CL20123,26/01/2021,Infantil 4,Jaraguá,18/08/2024 22:47,20/01/2025,Rematrícula,"55,00%",10.845
CL20125,,4º ano,,18/08/2024 22:45,,Rematrícula,,
CL20129,15/10/2013,6º ano,Lagoa Santa,18/08/2024 22:44,13/11/2024,Rematrícula,"60,00%",12.548
CL20131,16/1/2013,7º ano,Jaraguá,18/08/2024 22:46,05/11/2024,Rematrícula,"28,00%",21.096
CL20137,9/8/2012,7º ano,Lagoa Santa,18/08/2024 22:46,07/01/2025,Rematrícula,"50,90%",15.153
CL20144,29/3/2014,6º ano bilíngue,Mais Cidade Nova,18/08/2024 22:44,13/11/2024,Rematrícula,"64,80%",24.675
CL20146,12/2/2015,5º ano bilíngue,Carajás,18/08/2024 22:45,13/12/2024,Rematrícula,"100,00%",32.408
CL20148,15/7/2015,4º ano,Gutierrez,18/08/2024 22:46,25/10/2024,Rematrícula,"40,00%",16.559
CL20150,30/12/2013,6º ano,Lagoa Santa,18/08/2024 22:45,13/12/2024,Rematrícula,"50,00%",15.389
CL20152,30/4/2016,4º ano,Alípio de Melo,18/08/2024 22:44,30/08/2024,Rematrícula,"100,00%",0.0
CL20153,30/07/2021,Infantil 3,Castelo,18/08/2024 22:46,01/11/2024,Rematrícula,"67,00%",7.929
CL20154,6/8/2022,Infantil 3,Ouro Preto,18/08/2024 22:46,14/11/2024,Rematrícula,"50,00%",12.456
CL20155,09/01/2017,3º ano,Santa Amélia,18/08/2024 22:45,30/12/2024,Rematrícula,"40,00%",16.005
CL2016,3/6/2011,8º ano,Santa Amélia,18/08/2024 22:46:00,10/11/2024,Rematrícula,"37,00%",19.611
CL20162,18/10/2014,5º ano,Conceição do Mato Dentro,18/08/2024 22:44,09/12/2024,Rematrícula,"50,00%",16.387
CL20164,13/07/2017,2º ano,Carlos Prates,18/08/2024 22:45,06/12/2024,Rematrícula,"57,00%",10.886
CL20166,05/01/2012,8º ano,Jaraguá,18/08/2024 22:44,05/09/2024,Rematrícula,"46,90%",16.179
CL20169,,7º ano,,18/08/2024 22:44,,Rematrícula,,
CL2017,6/9/2023,Infantil 1,Carajás,18/08/2024 22:46:00,20/12/2024,Rematrícula,"100,00%",13.611
CL20182,14/01/2008,3ª série,Ouro Preto,18/08/2024 22:47,15/01/2025,Rematrícula,"45,00%",24.237
CL20187,,7º ano,,18/08/2024 22:44,,Rematrícula,,
CL20188,23/6/2019,Infantil 5,Conceição do Mato Dentro,18/08/2024 22:45,03/12/2024,Rematrícula,"23,20%",11.948
CL20191,23/04/2012,8º ano,Ouro Preto,18/08/2024 22:46,16/09/2024,Rematrícula,"10,00%",29.88
CL20192,15/7/2016,3º ano bilíngue,Carajás,18/08/2024 22:45,26/11/2024,Rematrícula,"100,00%",32.408
CL2020,22/08/2015,4º ano bilíngue,Carajás,18/08/2024 22:45:00,28/11/2024,Rematrícula,"100,00%",32.408
CL20212,29/11/2010,9º ano,Alípio de Melo,18/08/2024 22:44,06/11/2024,Rematrícula,"58,00%",12.407
CL20217,10/06/2019,Infantil 5,Santa Amélia,18/08/2024 22:45,13/11/2024,Rematrícula,"40,00%",13.852
CL20219,,5º ano,,18/08/2024 22:45,,Rematrícula,,
CL20220,31/3/2016,4º ano bilíngue,Castelo,09/10/2024 14:47,16/12/2024,Rematrícula,"58,30%",9.686
CL20223,11/04/2017,2º ano,Santa Amélia,18/08/2024 22:46,20/12/2024,Rematrícula,"55,00%",12.109
CL20224,21/06/2011,9º ano,Conceição do Mato Dentro,18/08/2024 22:47,17/01/2025,Rematrícula,"100,00%",13.409
CL20227,14/2/2019,1º ano,Gutierrez,18/08/2024 22:46,27/08/2024,Rematrícula,"15,00%",23.804
CL20229,2/8/2018,1º ano,Alípio de Melo,18/08/2024 22:45,20/11/2024,Rematrícula,"60,00%",10.124
CL20230,23/12/2008,2ª série,Mais Cidade Nova,18/08/2024 22:44,10/12/2024,Rematrícula,"55,00%",22.104
CL20231,15/11/2016,3º ano,Carajás,18/08/2024 22:46,27/11/2024,Rematrícula,"100,00%",22.238
CL20232,7/7/2010,9º ano,Alípio de Melo,18/08/2024 22:45,04/02/2025,Rematrícula,"45,00%",16.694
CL20233,24/3/2017,3º ano,Ouro Preto,18/08/2024 22:46,01/10/2024,Rematrícula,"50,00%",15.173
CL20237,,1º ano,,18/08/2024 22:45,,Rematrícula,,
CL20238,07/12/2014,5º ano,Castelo Manacás,18/08/2024 22:45,13/01/2025,Rematrícula,"50,40%",12.943
CL20240,,9º ano,,18/08/2024 22:45,,Rematrícula,,
CL20241,30/12/2009,1ª série,Carajás,18/08/2024 22:45,16/12/2024,Rematrícula,"100,00%",24.615
CL20247,28/9/2010,9º ano,Jaraguá,18/08/2024 22:47,15/10/2024,Rematrícula,"41,70%",17.532
CL20249,6/7/2012,7º ano,Conceição do Mato Dentro,18/08/2024 22:44,18/12/2024,Rematrícula,"36,80%",12.693
CL20250,29/12/2012,7º ano,Carlos Prates,18/08/2024 22:45,04/09/2024,Rematrícula,"55,00%",14.008
CL20251,13/12/2014,5º ano,Conceição do Mato Dentro,18/08/2024 22:45,26/11/2024,Rematrícula,"100,00%",273.0
CL20255,19/06/2018,1º ano,Santa Amélia,18/08/2024 22:47,18/11/2024,Rematrícula,"60,00%",10.951
CL20256,30/11/2016,3º ano,Conceição do Mato Dentro,18/08/2024 22:45,26/11/2024,Rematrícula,"50,00%",16.387
CL20258,29/11/2017,2º ano,Castelo,18/08/2024 22:46,04/10/2024,Rematrícula,"55,00%",11.928
CL20266,29/9/2014,5º ano,Alípio de Melo,18/08/2024 22:45,17/12/2024,Rematrícula,"47,00%",13.692
CL20267,22/11/2010,8º ano,Carajás,18/08/2024 22:45,07/01/2025,Rematrícula,"100,00%",23.427
CL20269,5/9/2017,2º ano,Lagoa Santa,18/08/2024 22:45,18/12/2024,Rematrícula,"40,00%",15.393
CL20272,,2ª série,,18/08/2024 22:45,,Rematrícula,,
CL20277,13/04/2008,3ª série,Carlos Prates,18/08/2024 22:46,09/10/2024,Rematrícula,"55,00%",16.551
CL20278,02/04/2016,4º ano,Alípio de Melo,18/08/2024 22:44,01/10/2024,Rematrícula,"56,30%",11.642
CL2028,25/3/2012,8º ano,Gutierrez,18/08/2024 22:45:00,17/01/2025,Rematrícula,"37,00%",21.418
CL20280,,7º ano,,18/08/2024 22:47,,Rematrícula,,
CL20287,09/10/2010,9º ano,Mais Pampulha,18/08/2024 22:46,10/09/2024,Rematrícula,"45,40%",24.25
CL20288,06/07/2009,1ª série,Ouro Preto,18/08/2024 22:46,26/11/2024,Rematrícula,"48,00%",20.416
CL20291,08/09/2010,9º ano,Santa Amélia,18/08/2024 22:45,25/12/2024,Rematrícula,"60,40%",13.246
CL20292,26/05/2021,Infantil 3,Castelo,18/08/2024 22:45,16/12/2024,Rematrícula,"50,00%",11.902
CL20293,3/8/2016,3º ano,Gutierrez,18/08/2024 22:45,12/11/2024,Rematrícula,"35,70%",17.647
CL20298,,1ª série,,18/08/2024 22:44,,Rematrícula,,
CL20299,20/08/2011,8º ano,Jaraguá,18/08/2024 22:44,09/12/2024,Rematrícula,"40,00%",17.028
CL20307,25/10/2011,8º ano bilíngue,Mais Belvedere,18/08/2024 22:46,18/11/2024,Rematrícula,"40,00%",23.537
CL20309,27/01/2009,1ª série,Lagoa Santa,18/08/2024 22:45,14/11/2024,Rematrícula,"60,00%",14.118
CL2031,28/5/2017,2º ano,Carlos Prates,18/08/2024 22:47:00,29/10/2024,Rematrícula,"60,00%",9.823
CL20310,25/2/2008,3ª série,Carajás,18/08/2024 22:44,04/12/2024,Rematrícula,"100,00%",24.615
CL20313,,Infantil 3,,18/08/2024 22:46,,Rematrícula,,
CL20316,4/9/2017,2º ano,Conceição do Mato Dentro,18/08/2024 22:46,04/02/2025,Rematrícula,"50,00%",8.193
CL20317,28/1/2012,8º ano,Ouro Preto,18/08/2024 22:44,07/10/2024,Rematrícula,"30,10%",23.819
CL20318,29/06/2011,8º ano,Carajás,18/08/2024 22:45,20/12/2024,Rematrícula,"100,00%",23.427
CL20323,19/09/2013,6º ano,Alípio de Melo,18/08/2024 22:47,13/09/2024,Rematrícula,"24,30%",21.958
CL20326,10/05/2012,7º ano,Carajás,18/08/2024 22:45,10/12/2024,Rematrícula,"100,00%",23.427
CL20327,19/7/2010,9º ano,Ouro Preto,18/08/2024 22:47,06/11/2024,Rematrícula,"44,30%",19.537
CL20328,12/08/2014,5º ano,Ouro Preto,18/08/2024 22:45,27/09/2024,Rematrícula,"30,00%",20.309
CL20334,13/06/2011,9º ano,Gutierrez,18/08/2024 22:46,11/09/2024,Rematrícula,"15,60%",27.775
CL2034,14/5/2018,1º ano bilíngue,Mais Cidade Nova,18/08/2024 22:44:00,07/10/2024,Rematrícula,"62,50%",21.14
CL20341,03/03/2015,5º ano,Lagoa Santa,18/08/2024 22:46,02/10/2024,Rematrícula,"48,00%",13.611
CL20347,13/06/2010,9º ano,Alípio de Melo,18/08/2024 22:46,24/01/2025,Rematrícula,"49,00%",15.208
CL20351,21/6/2017,3º ano bilíngue,Mais Cidade Nova,18/08/2024 22:46,13/11/2024,Rematrícula,"69,00%",17.681
CL20357,23/07/2015,4º ano,Gutierrez,18/08/2024 22:45,04/11/2024,Rematrícula,"40,00%",17.479
CL20361,,2ª série,,18/08/2024 22:47,,Rematrícula,,
CL20364,21/5/2014,5º ano bilíngue,Carajás,18/08/2024 22:46,30/11/2024,Rematrícula,"100,00%",32.408
CL2037,25/08/2015,4º ano,Carlos Prates,18/08/2024 22:47:00,27/09/2024,Rematrícula,"60,00%",10.224
CL20371,28/8/2012,7º ano,Carajás,18/08/2024 22:46,11/12/2024,Rematrícula,"100,00%",23.427
CL20372,,7º ano,,18/08/2024 22:45,,Rematrícula,,
CL20374,,2º ano bilíngue,,18/08/2024 22:46,,Rematrícula,,
CL20385,26/8/2015,4º ano,Carlos Prates,18/08/2024 22:46,09/12/2024,Rematrícula,"45,00%",14.134
CL20391,15/7/2013,6º ano bilíngue,Mais Pampulha,18/08/2024 22:45,09/12/2024,Rematrícula,"45,00%",34.852
CL20392,9/8/2010,9º ano,Ouro Preto,18/08/2024 22:46,09/10/2024,Rematrícula,"25,00%",25.356
CL20396,08/04/2019,Infantil 5,Ouro Preto,18/08/2024 22:47,12/12/2024,Rematrícula,"40,00%",15.351
CL20399,24/09/2019,Infantil 5,Lagoa Santa,18/08/2024 22:45,19/12/2024,Rematrícula,"55,00%",11.007
CL20401,28/04/2017,2º ano,Conceição do Mato Dentro,18/08/2024 22:46,06/12/2024,Rematrícula,"50,00%",16.387
CL20402,5/4/2008,2ª série,Alípio de Melo,18/08/2024 22:47,27/09/2024,Rematrícula,"41,70%",19.183
CL20410,,2ª série,,18/08/2024 22:46,,Rematrícula,,
CL20415,08/05/2008,2ª série,Ouro Preto Integral,18/08/2024 22:46,19/09/2024,Rematrícula,"32,70%",27.583
CL20420,17/12/2012,7º ano,Jaraguá,18/08/2024 22:46,07/09/2024,Rematrícula,"48,90%",15.659
CL20422,05/11/2012,7º ano bilíngue,Carajás,18/08/2024 22:44,29/11/2024,Rematrícula,"100,00%",38.376
CL20426,10/01/2015,5º ano,Nova Suíça,18/08/2024 22:44,10/10/2024,Rematrícula,"40,00%",17.479
CL20428,10/05/2016,4º ano,Jardim Canadá,18/08/2024 22:45,12/11/2024,Rematrícula,"40,00%",17.56
CL2043,11/05/2017,2º ano,Ouro Preto,18/08/2024 22:45:00,13/12/2024,Rematrícula,"47,00%",15.243
CL20432,25/11/2013,6º ano,Carajás,18/08/2024 22:44,03/12/2024,Rematrícula,"100,00%",23.427
CL20433,14/07/2015,4º ano,Lagoa Santa,18/08/2024 22:46,06/12/2024,Rematrícula,"40,00%",15.393
CL20437,05/12/2017,2º ano,Gutierrez,18/08/2024 22:44,09/11/2024,Rematrícula,"45,00%",15.524
CL20439,18/12/2019,Infantil 5,Gutierrez,18/08/2024 22:44,28/10/2024,Rematrícula,"40,00%",14.983
CL20440,03/02/2016,4º ano bilíngue,Carajás,18/08/2024 22:46,28/11/2024,Rematrícula,"100,00%",32.408
CL20441,08/11/2011,8º ano,Santa Amélia,18/08/2024 22:46,15/11/2024,Rematrícula,"22,30%",22.869
CL20443,18/10/2010,9º ano,Carajás,18/08/2024 22:45,13/12/2024,Rematrícula,"100,00%",23.427
CL20444,31/10/2019,Infantil 5 bilíngue,Mais Pampulha,18/08/2024 22:46,28/10/2024,Rematrícula,"55,00%",22.529
CL20447,3/8/2015,4º ano,Santa Amélia,18/08/2024 22:47,25/11/2024,Rematrícula,"55,80%",12.345
CL20454,06/09/2019,Infantil 5,Santa Amélia,18/08/2024 22:45,03/01/2025,Rematrícula,"45,00%",12.85
CL20457,10/10/2012,7º ano,Carajás,18/08/2024 22:46,02/01/2025,Rematrícula,"100,00%",23.427
CL20462,,3º ano bilíngue,,18/08/2024 22:45,,Rematrícula,,
CL20465,04/07/2015,4º ano,Carajás,18/08/2024 22:46,17/12/2024,Rematrícula,"100,00%",22.238
CL20472,,1º ano,,18/08/2024 22:44,,Rematrícula,,
CL20482,22/03/2011,9º ano,Carlos Prates,18/08/2024 22:47,24/01/2025,Rematrícula,"100,00%",0.0
CL20484,10/12/2012,7º ano,Mais Pampulha,18/08/2024 22:45,01/10/2024,Rematrícula,"50,00%",22.499
CL20486,07/07/2008,2ª série,Santa Amélia,18/08/2024 22:45,10/10/2024,Rematrícula,"50,00%",17.827
CL20488,20/10/2016,3º ano,Ouro Preto,18/08/2024 22:46,10/01/2025,Rematrícula,"50,00%",14.706
CL20492,,2ª série,,18/08/2024 22:47,,Rematrícula,,
CL20497,25/7/2019,Infantil 5 bilíngue,Carajás,18/08/2024 22:45,14/11/2024,Rematrícula,"100,00%",16.976
CL2050,,2º ano bilíngue,,18/08/2024 22:46:00,,Rematrícula,,
CL20500,,3ª série,,18/08/2024 22:46,,Rematrícula,,
CL20503,,2º ano,,18/08/2024 22:45,,Rematrícula,,
CL20507,02/06/2017,2º ano,Castelo,18/08/2024 22:45,08/10/2024,Rematrícula,"57,70%",11.333
CL2051,07/04/2020,Infantil 4,Ouro Preto,18/08/2024 22:46:00,30/01/2025,Rematrícula,"50,50%",12.413
CL20514,21/05/2008,1ª série,Mais Cidade Nova,18/08/2024 22:46,04/10/2024,Rematrícula,"45,00%",26.939
CL2052,,3º ano bilíngue,,18/08/2024 22:45:00,,Rematrícula,,
CL20520,,1ª série,,18/08/2024 22:45,,Rematrícula,,
CL20522,10/12/2008,2ª série,Alípio de Melo,18/08/2024 22:47,23/09/2024,Rematrícula,"50,00%",16.82
CL20524,23/4/2017,2º ano,Jardim Canadá,18/08/2024 22:46,11/11/2024,Rematrícula,"57,00%",12.315
CL20537,23/07/2014,5º ano bilíngue,Carajás,18/08/2024 22:44,13/12/2024,Rematrícula,"100,00%",32.408
CL20538,21/06/2013,6º ano,Jardim Canadá,18/08/2024 22:45,14/12/2024,Rematrícula,"50,00%",17.555
CL2054,,Infantil 5,,18/8/2024 22:46:00,,Rematrícula,,
CL20543,,Infantil 3 bilíngue,,18/08/2024 22:46,,Rematrícula,,
CL20546,20/09/2009,1ª série,Alípio de Melo,18/08/2024 22:44,14/01/2025,Rematrícula,"50,00%",16.173
CL20550,,9º ano,,18/08/2024 22:46,,Rematrícula,,
CL20555,7/7/2008,2ª série,Santa Amélia,18/08/2024 22:46,09/10/2024,Rematrícula,"49,00%",18.128
CL20558,25/02/2015,5º ano,Carajás,18/08/2024 22:44,29/11/2024,Rematrícula,"100,00%",22.238
CL20563,20/12/2007,3ª série,Mais Belvedere,18/08/2024 22:46,12/09/2024,Rematrícula,"50,00%",28.525
CL20565,,3ª série,,18/08/2024 22:44,,Rematrícula,,
CL20566,,2º ano,,18/08/2024 22:46,,Rematrícula,,
CL20570,06/10/2012,7º ano,Alípio de Melo,18/08/2024 22:46,31/12/2024,Rematrícula,"43,70%",16.463
CL20571,23/02/2013,7º ano,Ouro Preto,18/08/2024 22:46,11/09/2024,Rematrícula,"40,00%",20.833
CL20572,15/05/2018,1º ano bilíngue,Mais Pampulha,18/08/2024 22:45,04/02/2025,Rematrícula,"53,80%",27.851
CL20578,17/06/2017,2º ano,Castelo Manacás,18/08/2024 22:45,29/08/2024,Rematrícula,"33,30%",16.714
CL20583,26/2/2014,6º ano,Lagoa Santa,18/08/2024 22:45,22/10/2024,Rematrícula,"60,00%",12.548
CL20585,22/11/2014,5º ano,Carajás,18/08/2024 22:44,29/11/2024,Rematrícula,"100,00%",22.238
CL20591,10/3/2015,5º ano,Lagoa Santa,18/08/2024 22:47,02/01/2025,Rematrícula,"55,00%",10.026
CL20597,28/12/2009,1ª série,Carajás,18/08/2024 22:45,06/01/2025,Rematrícula,"100,00%",24.615
CL20599,16/1/2015,5º ano,Gutierrez,18/08/2024 22:45,20/12/2024,Rematrícula,"15,00%",21.504
CL2060,25/5/2019,Infantil 5,Lagoa Santa,18/08/2024 22:45:00,17/01/2025,Rematrícula,"55,00%",10.637
CL20600,,Infantil 5,,18/08/2024 22:45,,Rematrícula,,
CL20607,15/06/2015,4º ano bilíngue,Carajás,18/08/2024 22:46,30/11/2024,Rematrícula,"100,00%",32.408
CL20611,,2ª série,,18/08/2024 22:46,,Rematrícula,,
CL20613,07/09/2009,1ª série,Mais Buritis,18/08/2024 22:44,27/12/2024,Rematrícula,"50,00%",18.608
CL20616,14/05/2007,2ª série,Santa Amélia,18/08/2024 22:47,25/10/2024,Rematrícula,"34,90%",22.382
CL20618,26/04/2014,6º ano,Conceição do Mato Dentro,18/08/2024 22:44,04/12/2024,Rematrícula,"46,90%",10.92
CL20626,30/1/2014,6º ano bilíngue,Carajás,18/08/2024 22:46,04/12/2024,Rematrícula,"100,00%",38.376
CL20637,14/6/2016,3º ano bilíngue,Carajás,08/11/2024 14:24,25/11/2024,Rematrícula,"100,00%",32.408
CL20639,23/2/2013,7º ano,Mais Pampulha,18/08/2024 22:45,17/12/2024,Rematrícula,"36,40%",24.216
CL20641,08/01/2019,1º ano,Castelo Manacás,18/08/2024 22:45,06/11/2024,Rematrícula,"100,00%",0.0
CL20645,25/6/2008,2ª série,Conceição do Mato Dentro,18/08/2024 22:47,23/01/2025,Rematrícula,"50,00%",20.942
CL2065,10/05/2017,2º ano,Santa Amélia,18/08/2024 22:44:00,30/12/2024,Rematrícula,"59,80%",11.418
CL20650,05/09/2017,2º ano bilíngue,Mais Cidade Nova,18/08/2024 22:46,26/11/2024,Rematrícula,"68,00%",18.631
CL20651,09/09/2016,3º ano,Carlos Prates,18/08/2024 22:46,17/10/2024,Rematrícula,"51,00%",12.209
CL20653,6/4/2015,5º ano,Castelo Manacás,18/08/2024 22:44,24/01/2025,Rematrícula,"50,00%",12.43
CL20655,24/7/2009,1ª série,Carajás,18/08/2024 22:47,20/12/2024,Rematrícula,"100,00%",24.615
CL20660,16/12/2017,2º ano,Carajás,18/08/2024 22:45,21/11/2024,Rematrícula,"100,00%",22.238
