Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade
CL0396,30/10/2019,Infantil 5 bilíngue,Mais Buritis,18/08/2024 22:46:00,18/10/2024,Rematrícula,"68,00%",17.205
CL0398,11/09/2012,7º ano,Carlos Prates,18/08/2024 22:44:00,16/10/2024,Rematrícula,"55,90%",13.775
CL0400,03/12/2012,7º ano,Alípio de Melo,18/08/2024 22:46:00,26/09/2024,Rematrícula,"56,00%",13.749
CL0405,20/11/2011,8º ano,Lagoa Santa,18/08/2024 22:46:00,21/10/2024,Rematrícula,"46,00%",16.194
CL0406,,3ª série,,18/08/2024 22:44:00,,Rematrícula,,
CL0409,24/03/2011,9º ano,Mais Buritis,18/8/2024 22:47:00,16/12/2024,Rematrícula,"55,40%",16.668
CL0410,16/02/2019,1º ano,Castelo,18/08/2024 22:44:00,19/11/2024,Rematrícula,"49,40%",13.163
CL0412,02/04/2013,6º ano,Nova Suíça,18/08/2024 22:46:00,29/10/2024,Rematrícula,"47,10%",18.417
CL0414,22/06/2013,7º ano,Ouro Preto,18/08/2024 22:47:00,13/09/2024,Rematrícula,"61,20%",14.441
CL0415,,4º ano,,18/08/2024 22:44:00,,Rematrícula,,
CL0419,,2º ano,,18/08/2024 22:46:00,,Rematrícula,,
CL0425,3/6/2017,2º ano,Conceição do Mato Dentro,18/08/2024 22:46:00,03/12/2024,Rematrícula,"50,00%",16.387
CL0434,10/1/2012,8º ano,Santa Amélia,18/8/2024 22:45:00,16/01/2025,Rematrícula,"7,00%",27.773
CL0440,,6º ano,,18/08/2024 22:44:00,,Rematrícula,,
CL0443,24/03/2013,7º ano bilíngue,Carajás,18/08/2024 22:45:00,18/12/2024,Rematrícula,"100,00%",38.376
CL0444,28/12/2015,4º ano bilíngue,Mais Pampulha,18/08/2024 22:47:00,31/10/2024,Rematrícula,"53,20%",26.793
CL0446,12/01/2022,Infantil 3,Jardim Canadá,18/8/2024 22:46:00,25/10/2024,Rematrícula,"45,00%",14.254
CL0447,19/2/2012,8º ano,Conceição do Mato Dentro,18/08/2024 22:47:00,07/01/2025,Rematrícula,"60,00%",8.62
CL0449,25/10/2020,Infantil 4,Alípio de Melo,18/08/2024 22:46:00,02/10/2024,Rematrícula,"57,00%",10.444
CL0450,26/10/2017,2º ano,Carlos Prates,18/08/2024 22:44:00,19/11/2024,Rematrícula,"65,00%",8.821
CL0461,11/01/2017,3º ano bilíngue,Mais Belvedere,18/08/2024 22:44:00,03/12/2024,Rematrícula,"54,90%",27.079
CL0462,11/9/2012,7º ano,Carajás,18/08/2024 22:45:00,05/12/2024,Rematrícula,"100,00%",23.427
CL0464,18/01/2013,7º ano,Gutierrez,18/08/2024 22:46:00,24/10/2024,Rematrícula,"100,00%",0.0
CL0467,20/8/2012,7º ano,Santa Amélia,18/08/2024 22:45:00,06/12/2024,Rematrícula,"55,00%",14.715
CL0473,25/9/2019,Infantil 5 bilíngue,Carajás,08/11/2024 14:02:00,18/11/2024,Rematrícula,"100,00%",0.0
CL0474,30/09/2012,7º ano,Carlos Prates,18/08/2024 22:47:00,02/10/2024,Rematrícula,"51,00%",14.337
CL0478,,7º ano,,18/08/2024 22:46:00,,Rematrícula,,
CL0484,,8º ano,,18/08/2024 22:45:00,,Rematrícula,,
CL0486,26/1/2022,Infantil 3,Nova Suíça,18/8/2024 22:46:00,05/09/2024,Rematrícula,"50,00%",13.526
